gap_start,gap_end,dur,dur_h
2023-04-12 10:30:00,2023-04-12 11:10:00,0 days 00:40:00,0.67
2023-04-12 14:10:00,2023-04-12 16:30:00,0 days 02:20:00,2.33
2023-07-22 05:20:00,2023-07-22 05:40:00,0 days 00:20:00,0.33
2023-07-26 09:40:00,2023-07-26 17:10:00,0 days 07:30:00,7.5
2023-08-11 09:40:00,2023-08-11 10:10:00,0 days 00:30:00,0.5
2023-09-08 10:40:00,2023-09-08 12:50:00,0 days 02:10:00,2.17
2023-10-07 08:20:00,2023-10-07 20:10:00,0 days 11:50:00,11.83
2023-11-15 10:40:00,2023-11-15 11:20:00,0 days 00:40:00,0.67
2023-11-15 11:20:00,2023-11-15 11:40:00,0 days 00:20:00,0.33
2023-11-15 17:20:00,2023-11-15 17:50:00,0 days 00:30:00,0.5
2023-11-15 19:10:00,2023-11-15 19:40:00,0 days 00:30:00,0.5
2023-11-15 22:20:00,2023-11-15 22:50:00,0 days 00:30:00,0.5
2023-11-16 10:00:00,2023-11-16 13:50:00,0 days 03:50:00,3.83
2023-11-16 13:50:00,2023-11-16 14:40:00,0 days 00:50:00,0.83
2023-11-16 15:10:00,2023-11-16 15:30:00,0 days 00:20:00,0.33
2023-11-16 17:30:00,2023-11-16 18:10:00,0 days 00:40:00,0.67
2023-11-16 19:20:00,2023-11-16 19:40:00,0 days 00:20:00,0.33
2023-11-17 06:50:00,2023-11-17 07:10:00,0 days 00:20:00,0.33
2024-01-08 08:30:00,2024-01-08 09:10:00,0 days 00:40:00,0.67
2024-02-16 13:40:00,2024-02-16 14:20:00,0 days 00:40:00,0.67
2024-04-26 16:20:00,2024-04-26 21:30:00,0 days 05:10:00,5.17
2024-05-01 17:50:00,2024-05-01 18:30:00,0 days 00:40:00,0.67
2024-05-10 12:30:00,2024-05-10 12:50:00,0 days 00:20:00,0.33
2024-05-18 03:40:00,2024-06-28 18:40:00,41 days 15:00:00,999.0
2024-06-28 23:00:00,2024-07-17 17:20:00,18 days 18:20:00,450.33
2024-08-09 12:10:00,2024-08-09 15:00:00,0 days 02:50:00,2.83
2024-08-20 10:50:00,2024-08-20 15:40:00,0 days 04:50:00,4.83
2024-09-12 11:30:00,2024-09-12 17:10:00,0 days 05:40:00,5.67
2024-10-02 12:10:00,2024-10-02 16:00:00,0 days 03:50:00,3.83
2024-10-10 10:40:00,2024-10-10 16:30:00,0 days 05:50:00,5.83
2024-10-15 10:10:00,2024-10-15 17:50:00,0 days 07:40:00,7.67
2024-12-30 10:20:00,2024-12-30 12:10:00,0 days 01:50:00,1.83
2025-02-28 10:30:00,2025-02-28 16:30:00,0 days 06:00:00,6.0
2025-03-07 15:10:00,2025-03-07 18:20:00,0 days 03:10:00,3.17
2025-03-07 18:30:00,2025-03-07 18:50:00,0 days 00:20:00,0.33
2025-03-31 10:30:00,2025-03-31 18:20:00,0 days 07:50:00,7.83
2025-04-04 11:40:00,2025-04-04 17:10:00,0 days 05:30:00,5.5
2025-04-04 18:20:00,2025-04-04 18:40:00,0 days 00:20:00,0.33
2025-04-08 10:30:00,2025-04-08 18:00:00,0 days 07:30:00,7.5
2025-04-10 07:40:00,2025-04-10 08:10:00,0 days 00:30:00,0.5
2025-04-17 11:30:00,2025-04-17 17:10:00,0 days 05:40:00,5.67
2025-04-26 09:10:00,2025-04-26 09:40:00,0 days 00:30:00,0.5
2025-05-15 11:00:00,2025-05-15 11:30:00,0 days 00:30:00,0.5
2025-05-15 12:40:00,2025-05-15 13:00:00,0 days 00:20:00,0.33
2025-05-22 12:10:00,2025-05-22 14:10:00,0 days 02:00:00,2.0
2025-05-23 18:50:00,2025-05-24 23:00:00,1 days 04:10:00,28.17
2025-05-28 07:30:00,2025-05-28 13:10:00,0 days 05:40:00,5.67
2025-06-03 11:00:00,2025-06-03 12:20:00,0 days 01:20:00,1.33
2025-06-03 13:40:00,2025-06-03 14:00:00,0 days 00:20:00,0.33
2025-06-17 10:20:00,2025-06-17 17:50:00,0 days 07:30:00,7.5
2025-06-17 23:00:00,2025-06-18 01:00:00,0 days 02:00:00,2.0
2025-06-24 08:10:00,2025-06-24 08:30:00,0 days 00:20:00,0.33
2025-07-02 12:20:00,2025-07-02 13:10:00,0 days 00:50:00,0.83
2025-07-02 14:00:00,2025-07-02 14:50:00,0 days 00:50:00,0.83
2025-07-10 19:20:00,2025-07-10 19:40:00,0 days 00:20:00,0.33
2025-07-22 11:20:00,2025-07-22 14:10:00,0 days 02:50:00,2.83
2025-08-20 11:50:00,2025-08-20 17:20:00,0 days 05:30:00,5.5
2025-08-21 18:00:00,2025-08-21 18:30:00,0 days 00:30:00,0.5
2025-09-24 01:10:00,2025-09-24 01:40:00,0 days 00:30:00,0.5
2025-10-03 09:50:00,2025-10-03 10:40:00,0 days 00:50:00,0.83
2025-10-03 10:40:00,2025-10-05 14:00:00,2 days 03:20:00,51.33
2025-10-06 14:00:00,2025-10-06 15:10:00,0 days 01:10:00,1.17
2025-10-09 09:40:00,2025-10-09 10:10:00,0 days 00:30:00,0.5
2025-10-16 21:50:00,2025-10-16 22:10:00,0 days 00:20:00,0.33
2025-12-12 07:20:00,2025-12-12 08:10:00,0 days 00:50:00,0.83
2025-12-12 18:50:00,2025-12-12 19:30:00,0 days 00:40:00,0.67
2025-12-13 10:20:00,2025-12-13 10:50:00,0 days 00:30:00,0.5
