wsbin,n,median,q25,q75,mean,zero_frac
0.0,1151,0.01,0.01,0.01,0.01,0.0
0.5,4813,0.01,0.01,0.01,0.01,0.002
1.0,7268,0.01,0.01,0.01,0.01,0.024
1.5,7597,0.01,0.01,0.01,0.01,0.031
2.0,6336,0.01,0.01,0.01,0.013,0.012
2.5,5630,0.01,0.01,0.03,0.02,0.003
3.0,5325,0.03,0.01,0.05,0.033,0.002
3.5,5172,0.06,0.03,0.07,0.051,0.002
4.0,5720,0.08,0.05,0.1,0.071,0.0
4.5,6133,0.11,0.08,0.13,0.1,0.0
5.0,6705,0.15,0.11,0.17,0.138,0.0
5.5,7133,0.19,0.16,0.22,0.185,0.0
6.0,7292,0.25,0.22,0.28,0.245,0.0
6.5,6988,0.32,0.29,0.35,0.316,0.0
7.0,6350,0.4,0.37,0.44,0.394,0.0
7.5,5309,0.48,0.45,0.52,0.472,0.0
8.0,4687,0.56,0.53,0.59,0.548,0.0
8.5,4202,0.64,0.6,0.67,0.622,0.0
9.0,4011,0.71,0.68,0.75,0.693,0.0
9.5,3941,0.79,0.75,0.82,0.765,0.0
10.0,4274,0.86,0.82,0.9,0.843,0.0
10.5,4696,0.93,0.89,0.97,0.912,0.0
11.0,5009,0.98,0.94,0.99,0.951,0.0
11.5,4437,0.99,0.97,0.99,0.966,0.0
12.0,3554,0.99,0.98,0.99,0.967,0.0
12.5,2731,0.99,0.99,0.99,0.974,0.0
13.0,1901,0.99,0.99,0.99,0.976,0.0
13.5,1352,0.99,0.99,0.99,0.971,0.0
14.0,920,0.99,0.99,0.99,0.967,0.0
14.5,655,0.99,0.99,0.99,0.976,0.0
15.0,396,0.99,0.99,0.99,0.969,0.0
15.5,241,0.99,0.99,0.99,0.951,0.0
16.0,138,0.99,0.99,0.99,0.948,0.0
16.5,86,0.99,0.99,0.99,0.933,0.0
17.0,74,0.99,0.99,0.99,0.957,0.0
17.5,43,0.99,0.99,0.99,0.989,0.0
18.0,24,0.99,0.99,0.99,0.988,0.0
18.5,26,0.99,0.98,0.99,0.977,0.0
19.0,14,0.99,0.99,0.99,0.988,0.0
19.5,12,0.99,0.988,0.99,0.93,0.0
20.0,7,0.99,0.99,0.99,0.99,0.0
20.5,2,0.99,0.99,0.99,0.99,0.0
21.0,2,0.99,0.99,0.99,0.99,0.0
22.0,2,0.5,0.255,0.745,0.5,0.0
22.5,1,0.97,0.97,0.97,0.97,0.0
