gap_start,gap_end,dur,dur_h
2023-04-04 17:00:00,2023-04-04 17:20:00,0 days 00:20:00,0.33
2023-04-10 16:50:00,2023-04-10 17:10:00,0 days 00:20:00,0.33
2023-04-13 12:00:00,2023-04-13 12:20:00,0 days 00:20:00,0.33
2023-04-14 15:40:00,2023-04-15 18:00:00,1 days 02:20:00,26.33
2023-04-16 14:40:00,2023-04-16 15:40:00,0 days 01:00:00,1.0
2023-04-24 18:40:00,2023-04-24 19:10:00,0 days 00:30:00,0.5
2023-04-24 19:20:00,2023-04-24 19:40:00,0 days 00:20:00,0.33
2023-05-11 17:30:00,2023-05-11 17:50:00,0 days 00:20:00,0.33
2023-05-12 18:10:00,2023-05-12 18:30:00,0 days 00:20:00,0.33
2023-05-16 17:20:00,2023-05-16 17:40:00,0 days 00:20:00,0.33
2023-05-17 21:00:00,2023-05-17 21:20:00,0 days 00:20:00,0.33
2023-05-19 21:20:00,2023-05-19 21:40:00,0 days 00:20:00,0.33
2023-05-20 17:10:00,2023-05-20 17:40:00,0 days 00:30:00,0.5
2023-05-21 21:00:00,2023-05-21 21:20:00,0 days 00:20:00,0.33
2023-05-23 20:10:00,2023-05-23 20:30:00,0 days 00:20:00,0.33
2023-05-25 08:30:00,2023-05-25 08:50:00,0 days 00:20:00,0.33
2023-05-28 11:00:00,2023-05-28 11:30:00,0 days 00:30:00,0.5
2023-06-02 16:50:00,2023-06-02 17:10:00,0 days 00:20:00,0.33
2023-06-02 17:20:00,2023-06-02 17:40:00,0 days 00:20:00,0.33
2023-06-02 18:20:00,2023-06-02 18:40:00,0 days 00:20:00,0.33
2023-06-02 21:20:00,2023-06-02 21:40:00,0 days 00:20:00,0.33
2023-06-02 21:50:00,2023-06-02 22:10:00,0 days 00:20:00,0.33
2023-06-03 05:20:00,2023-06-03 05:40:00,0 days 00:20:00,0.33
2023-06-04 07:50:00,2023-06-04 08:50:00,0 days 01:00:00,1.0
2023-06-04 13:40:00,2023-06-04 20:10:00,0 days 06:30:00,6.5
2023-06-05 06:10:00,2023-06-05 06:30:00,0 days 00:20:00,0.33
2023-06-05 08:40:00,2023-06-05 09:00:00,0 days 00:20:00,0.33
2023-06-05 10:40:00,2023-06-05 11:00:00,0 days 00:20:00,0.33
2023-06-05 12:40:00,2023-06-05 13:00:00,0 days 00:20:00,0.33
2023-06-05 13:30:00,2023-06-05 13:50:00,0 days 00:20:00,0.33
2023-06-05 22:40:00,2023-06-06 01:20:00,0 days 02:40:00,2.67
2023-06-06 05:20:00,2023-06-06 05:40:00,0 days 00:20:00,0.33
2023-06-06 05:50:00,2023-06-06 08:30:00,0 days 02:40:00,2.67
2023-06-06 08:40:00,2023-06-06 12:40:00,0 days 04:00:00,4.0
2023-06-06 12:40:00,2023-06-07 01:20:00,0 days 12:40:00,12.67
2023-06-07 01:40:00,2023-06-07 02:40:00,0 days 01:00:00,1.0
2023-06-07 03:20:00,2023-06-07 03:40:00,0 days 00:20:00,0.33
2023-06-07 07:50:00,2023-06-07 08:10:00,0 days 00:20:00,0.33
2023-06-07 08:40:00,2023-06-07 10:30:00,0 days 01:50:00,1.83
2023-06-07 10:50:00,2023-06-07 11:10:00,0 days 00:20:00,0.33
2023-06-07 11:20:00,2023-06-07 12:10:00,0 days 00:50:00,0.83
2023-06-07 12:20:00,2023-06-07 13:00:00,0 days 00:40:00,0.67
2023-06-07 13:00:00,2023-06-07 16:20:00,0 days 03:20:00,3.33
2023-06-07 16:20:00,2023-06-07 16:40:00,0 days 00:20:00,0.33
2023-06-07 16:40:00,2023-06-07 17:00:00,0 days 00:20:00,0.33
2023-06-07 17:10:00,2023-06-07 18:10:00,0 days 01:00:00,1.0
2023-06-07 18:20:00,2023-06-07 22:00:00,0 days 03:40:00,3.67
2023-06-07 22:10:00,2023-06-07 23:10:00,0 days 01:00:00,1.0
2023-06-07 23:20:00,2023-06-07 23:40:00,0 days 00:20:00,0.33
2023-06-08 07:20:00,2023-06-08 11:00:00,0 days 03:40:00,3.67
2023-06-08 11:00:00,2023-06-08 11:40:00,0 days 00:40:00,0.67
2023-06-08 11:50:00,2023-06-08 12:20:00,0 days 00:30:00,0.5
2023-06-12 10:50:00,2023-06-12 16:40:00,0 days 05:50:00,5.83
2023-06-16 09:20:00,2023-06-16 17:00:00,0 days 07:40:00,7.67
2023-06-26 10:30:00,2023-06-26 17:00:00,0 days 06:30:00,6.5
2023-07-09 04:10:00,2023-07-09 06:40:00,0 days 02:30:00,2.5
2023-07-20 15:40:00,2023-07-20 16:00:00,0 days 00:20:00,0.33
2023-07-24 07:40:00,2023-07-24 08:00:00,0 days 00:20:00,0.33
2023-07-26 09:40:00,2023-07-26 17:10:00,0 days 07:30:00,7.5
2023-09-08 10:40:00,2023-09-08 12:50:00,0 days 02:10:00,2.17
2023-09-08 13:00:00,2023-09-08 14:40:00,0 days 01:40:00,1.67
2023-10-07 08:20:00,2023-10-07 20:10:00,0 days 11:50:00,11.83
2023-11-10 10:20:00,2023-11-10 10:50:00,0 days 00:30:00,0.5
2023-11-15 10:40:00,2023-11-15 11:10:00,0 days 00:30:00,0.5
2023-11-15 11:20:00,2023-11-15 11:40:00,0 days 00:20:00,0.33
2023-11-15 17:00:00,2023-11-15 18:10:00,0 days 01:10:00,1.17
2023-11-15 19:10:00,2023-11-15 19:40:00,0 days 00:30:00,0.5
2023-11-15 22:20:00,2023-11-15 22:50:00,0 days 00:30:00,0.5
2023-11-16 10:00:00,2023-11-16 13:50:00,0 days 03:50:00,3.83
2023-11-16 13:50:00,2023-11-16 14:40:00,0 days 00:50:00,0.83
2023-11-16 15:10:00,2023-11-16 15:30:00,0 days 00:20:00,0.33
2023-11-16 17:30:00,2023-11-16 18:10:00,0 days 00:40:00,0.67
2023-11-16 19:20:00,2023-11-16 19:40:00,0 days 00:20:00,0.33
2023-11-17 06:50:00,2023-11-17 07:10:00,0 days 00:20:00,0.33
2023-12-10 21:50:00,2023-12-11 04:40:00,0 days 06:50:00,6.83
2023-12-11 11:30:00,2023-12-11 11:50:00,0 days 00:20:00,0.33
2024-01-08 08:30:00,2024-01-08 09:10:00,0 days 00:40:00,0.67
2024-01-12 10:40:00,2024-01-12 12:20:00,0 days 01:40:00,1.67
2024-01-12 15:30:00,2024-01-12 18:20:00,0 days 02:50:00,2.83
2024-02-16 12:20:00,2024-02-17 18:40:00,1 days 06:20:00,30.33
2024-04-20 09:30:00,2024-04-20 10:10:00,0 days 00:40:00,0.67
2024-04-26 16:40:00,2024-04-26 21:30:00,0 days 04:50:00,4.83
2024-05-01 17:50:00,2024-05-01 18:30:00,0 days 00:40:00,0.67
2024-05-01 19:30:00,2024-05-01 20:30:00,0 days 01:00:00,1.0
2024-05-04 08:00:00,2024-05-04 08:30:00,0 days 00:30:00,0.5
2024-05-07 15:10:00,2024-05-07 15:40:00,0 days 00:30:00,0.5
2024-05-08 15:40:00,2024-05-08 16:00:00,0 days 00:20:00,0.33
2024-05-10 12:30:00,2024-05-10 12:50:00,0 days 00:20:00,0.33
2024-05-18 04:00:00,2024-05-20 13:30:00,2 days 09:30:00,57.5
2024-05-21 10:50:00,2024-05-21 11:50:00,0 days 01:00:00,1.0
2024-05-28 10:40:00,2024-05-28 18:30:00,0 days 07:50:00,7.83
2024-06-01 14:00:00,2024-06-01 14:20:00,0 days 00:20:00,0.33
2024-06-01 14:50:00,2024-06-01 15:40:00,0 days 00:50:00,0.83
2024-06-07 08:40:00,2024-06-07 09:50:00,0 days 01:10:00,1.17
2024-06-07 10:40:00,2024-06-07 14:30:00,0 days 03:50:00,3.83
2024-06-08 08:40:00,2024-06-08 09:10:00,0 days 00:30:00,0.5
2024-06-11 06:30:00,2024-06-11 07:40:00,0 days 01:10:00,1.17
2024-06-17 09:50:00,2024-06-17 10:40:00,0 days 00:50:00,0.83
2024-06-18 11:10:00,2024-06-18 11:40:00,0 days 00:30:00,0.5
2024-06-18 23:10:00,2024-06-18 23:40:00,0 days 00:30:00,0.5
2024-06-29 06:30:00,2024-06-29 07:10:00,0 days 00:40:00,0.67
2024-06-29 07:30:00,2024-06-29 07:50:00,0 days 00:20:00,0.33
2024-06-30 12:40:00,2024-06-30 13:30:00,0 days 00:50:00,0.83
2024-07-02 10:10:00,2024-07-02 11:30:00,0 days 01:20:00,1.33
2024-07-02 11:30:00,2024-07-02 11:50:00,0 days 00:20:00,0.33
2024-07-03 12:30:00,2024-07-03 13:00:00,0 days 00:30:00,0.5
2024-07-04 10:50:00,2024-07-04 12:10:00,0 days 01:20:00,1.33
2024-07-05 13:10:00,2024-07-05 14:20:00,0 days 01:10:00,1.17
2024-07-06 13:00:00,2024-07-06 14:10:00,0 days 01:10:00,1.17
2024-07-07 15:00:00,2024-07-07 16:00:00,0 days 01:00:00,1.0
2024-07-08 10:50:00,2024-07-08 12:00:00,0 days 01:10:00,1.17
2024-07-09 11:40:00,2024-07-09 14:20:00,0 days 02:40:00,2.67
2024-07-10 09:10:00,2024-07-10 10:00:00,0 days 00:50:00,0.83
2024-07-10 11:20:00,2024-07-10 11:40:00,0 days 00:20:00,0.33
2024-07-10 13:00:00,2024-07-10 16:10:00,0 days 03:10:00,3.17
2024-07-11 11:10:00,2024-07-11 12:00:00,0 days 00:50:00,0.83
2024-07-11 12:40:00,2024-07-11 13:00:00,0 days 00:20:00,0.33
2024-07-11 19:00:00,2024-07-11 19:20:00,0 days 00:20:00,0.33
2024-07-12 08:00:00,2024-07-12 12:00:00,0 days 04:00:00,4.0
2024-07-12 12:50:00,2024-07-12 18:40:00,0 days 05:50:00,5.83
2024-07-17 12:40:00,2024-07-17 16:50:00,0 days 04:10:00,4.17
2024-07-22 04:50:00,2024-07-22 05:10:00,0 days 00:20:00,0.33
2024-07-22 07:50:00,2024-07-22 08:20:00,0 days 00:30:00,0.5
2024-07-28 08:20:00,2024-07-28 08:40:00,0 days 00:20:00,0.33
2024-08-09 12:10:00,2024-08-09 14:00:00,0 days 01:50:00,1.83
2024-08-09 14:30:00,2024-08-09 15:30:00,0 days 01:00:00,1.0
2024-08-20 10:50:00,2024-08-20 15:40:00,0 days 04:50:00,4.83
2024-10-02 12:10:00,2024-10-02 16:00:00,0 days 03:50:00,3.83
2024-10-10 10:40:00,2024-10-10 16:30:00,0 days 05:50:00,5.83
2024-10-15 10:10:00,2024-10-15 17:50:00,0 days 07:40:00,7.67
2024-12-30 10:20:00,2024-12-30 12:10:00,0 days 01:50:00,1.83
2025-02-28 10:30:00,2025-02-28 16:30:00,0 days 06:00:00,6.0
2025-03-07 15:10:00,2025-03-07 18:20:00,0 days 03:10:00,3.17
2025-03-07 18:30:00,2025-03-07 18:50:00,0 days 00:20:00,0.33
2025-03-19 16:00:00,2025-03-19 16:20:00,0 days 00:20:00,0.33
2025-03-21 21:30:00,2025-03-21 21:50:00,0 days 00:20:00,0.33
2025-03-23 16:00:00,2025-03-23 17:10:00,0 days 01:10:00,1.17
