t,month,model,var,best_lag_h,r_best,r_at5,r_at6,n
1,2023-11,IFS9,temp,7.0,0.853,0.724,0.821,4278
1,2023-12,ERA5,ws,6.17,0.798,0.77,0.797,4464
1,2023-12,ERA5,temp,6.67,0.945,0.932,0.943,4464
1,2023-12,IFS9,ws,6.17,0.798,0.77,0.797,4464
1,2023-12,IFS9,temp,6.67,0.945,0.932,0.943,4464
1,2024-01,ERA5,ws,6.5,0.783,0.733,0.777,4461
1,2024-01,ERA5,temp,6.83,0.888,0.844,0.879,4461
1,2024-01,IFS9,ws,6.5,0.783,0.733,0.777,4461
1,2024-01,IFS9,temp,6.83,0.888,0.844,0.879,4461
1,2024-02,ERA5,ws,6.5,0.782,0.741,0.778,4173
1,2024-02,ERA5,temp,6.33,0.945,0.926,0.944,4173
1,2024-02,IFS9,ws,6.5,0.782,0.741,0.778,4173
1,2024-02,IFS9,temp,6.33,0.945,0.926,0.944,4173
1,2024-03,ERA5,ws,5.67,0.833,0.816,0.831,4464
1,2024-03,ERA5,temp,6.83,0.949,0.914,0.943,4464
1,2024-03,IFS9,ws,5.67,0.833,0.816,0.831,4464
1,2024-03,IFS9,temp,6.83,0.949,0.914,0.943,4464
1,2024-04,ERA5,ws,5.83,0.811,0.787,0.81,4290
1,2024-04,ERA5,temp,6.67,0.922,0.871,0.914,4290
1,2024-04,IFS9,ws,5.83,0.811,0.787,0.81,4290
1,2024-04,IFS9,temp,6.67,0.922,0.871,0.914,4290
1,2024-05,ERA5,ws,5.83,0.829,0.804,0.827,2467
1,2024-05,ERA5,temp,6.5,0.894,0.845,0.888,2467
1,2024-05,IFS9,ws,5.83,0.829,0.804,0.827,2467
1,2024-05,IFS9,temp,6.5,0.894,0.845,0.888,2467
1,2024-07,ERA5,ws,5.67,0.702,0.664,0.689,2056
1,2024-07,ERA5,temp,6.83,0.916,0.846,0.903,2056
1,2024-07,IFS9,ws,5.67,0.702,0.664,0.689,2056
1,2024-07,IFS9,temp,6.83,0.916,0.846,0.903,2056
1,2024-08,ERA5,ws,5.5,0.631,0.623,0.622,4420
1,2024-08,ERA5,temp,6.83,0.92,0.84,0.902,4420
1,2024-08,IFS9,ws,5.5,0.631,0.623,0.622,4420
1,2024-08,IFS9,temp,6.83,0.92,0.84,0.902,4420
1,2024-09,ERA5,ws,5.83,0.85,0.829,0.849,4287
1,2024-09,ERA5,temp,6.67,0.927,0.876,0.92,4287
1,2024-09,IFS9,ws,5.83,0.85,0.829,0.849,4287
1,2024-09,IFS9,temp,6.67,0.927,0.876,0.92,4287
1,2024-10,ERA5,ws,6.17,0.816,0.774,0.816,4363
1,2024-10,ERA5,temp,7.0,0.939,0.887,0.927,4363
1,2024-10,IFS9,ws,6.17,0.816,0.774,0.816,4363
1,2024-10,IFS9,temp,7.0,0.939,0.887,0.927,4363
1,2024-11,ERA5,ws,6.17,0.81,0.773,0.809,4320
1,2024-11,ERA5,temp,7.0,0.905,0.84,0.889,4320
1,2024-11,IFS9,ws,6.17,0.81,0.773,0.809,4320
1,2024-11,IFS9,temp,7.0,0.905,0.84,0.889,4320
1,2024-12,ERA5,ws,6.17,0.822,0.788,0.821,4454
1,2024-12,ERA5,temp,6.67,0.896,0.848,0.888,4454
1,2024-12,IFS9,ws,6.17,0.822,0.788,0.821,4454
1,2024-12,IFS9,temp,6.67,0.896,0.848,0.888,4454
1,2025-01,ERA5,ws,6.17,0.799,0.78,0.799,4464
1,2025-01,ERA5,temp,6.67,0.892,0.82,0.88,4464
1,2025-01,IFS9,ws,6.17,0.799,0.78,0.799,4464
1,2025-01,IFS9,temp,6.67,0.892,0.82,0.88,4464
1,2025-02,ERA5,ws,6.17,0.757,0.734,0.757,3997
1,2025-02,ERA5,temp,6.5,0.919,0.867,0.913,3997
1,2025-02,IFS9,ws,6.17,0.757,0.734,0.757,3997
1,2025-02,IFS9,temp,6.5,0.919,0.867,0.913,3997
1,2025-03,ERA5,ws,6.0,0.81,0.792,0.81,4399
1,2025-03,ERA5,temp,7.17,0.909,0.849,0.892,4399
1,2025-03,IFS9,ws,6.0,0.81,0.792,0.81,4399
1,2025-03,IFS9,temp,7.17,0.909,0.849,0.892,4399
1,2025-04,ERA5,ws,5.83,0.783,0.761,0.782,4206
1,2025-04,ERA5,temp,7.0,0.94,0.874,0.923,4206
1,2025-04,IFS9,ws,5.83,0.783,0.761,0.782,4206
1,2025-04,IFS9,temp,7.0,0.94,0.874,0.923,4206
1,2025-05,ERA5,ws,5.83,0.826,0.805,0.824,4249
1,2025-05,ERA5,temp,6.67,0.932,0.869,0.92,4249
1,2025-05,IFS9,ws,5.83,0.826,0.805,0.824,4249
1,2025-05,IFS9,temp,6.67,0.932,0.869,0.92,4249
1,2025-06,ERA5,ws,5.83,0.674,0.65,0.673,4256
1,2025-06,ERA5,temp,6.67,0.94,0.873,0.929,4256
1,2025-06,IFS9,ws,5.83,0.674,0.65,0.673,4256
1,2025-06,IFS9,temp,6.67,0.94,0.873,0.929,4256
1,2025-07,ERA5,ws,5.83,0.667,0.649,0.666,4439
1,2025-07,ERA5,temp,6.5,0.919,0.859,0.911,4439
1,2025-07,IFS9,ws,5.83,0.667,0.649,0.666,4439
1,2025-07,IFS9,temp,6.5,0.919,0.859,0.911,4439
1,2025-08,ERA5,ws,6.0,0.717,0.683,0.717,4430
1,2025-08,ERA5,temp,6.5,0.911,0.852,0.904,4430
1,2025-08,IFS9,ws,6.0,0.717,0.683,0.717,4430
1,2025-08,IFS9,temp,6.5,0.911,0.852,0.904,4430
1,2025-09,ERA5,ws,5.67,0.796,0.77,0.793,4318
1,2025-09,ERA5,temp,6.67,0.924,0.863,0.914,4318
1,2025-09,IFS9,ws,5.67,0.796,0.77,0.793,4318
1,2025-09,IFS9,temp,6.67,0.924,0.863,0.914,4318
1,2025-10,ERA5,ws,6.0,0.817,0.783,0.817,4144
1,2025-10,ERA5,temp,6.67,0.929,0.843,0.913,4144
1,2025-10,IFS9,ws,6.0,0.817,0.783,0.817,4144
1,2025-10,IFS9,temp,6.67,0.929,0.843,0.913,4144
1,2025-11,ERA5,ws,6.17,0.818,0.788,0.817,4320
1,2025-11,ERA5,temp,7.17,0.91,0.79,0.873,4320
1,2025-11,IFS9,ws,6.17,0.818,0.788,0.817,4320
1,2025-11,IFS9,temp,7.17,0.91,0.79,0.873,4320
1,2025-12,ERA5,ws,6.17,0.825,0.795,0.825,4455
1,2025-12,ERA5,temp,7.17,0.839,0.762,0.815,4455
1,2025-12,IFS9,ws,6.17,0.825,0.795,0.825,4455
1,2025-12,IFS9,temp,7.17,0.839,0.762,0.815,4455
1,2026-01,ERA5,ws,6.0,0.76,0.747,0.76,4464
1,2026-01,ERA5,temp,7.17,0.923,0.874,0.908,4464
1,2026-01,IFS9,ws,6.0,0.76,0.747,0.76,4464
1,2026-01,IFS9,temp,7.17,0.923,0.874,0.908,4464
2,2023-03,ERA5,ws,6.17,0.832,0.802,0.831,2970
2,2023-03,ERA5,temp,6.83,0.928,0.881,0.919,2970
2,2023-03,IFS9,ws,6.17,0.832,0.802,0.831,2970
2,2023-03,IFS9,temp,6.83,0.928,0.881,0.919,2970
2,2023-04,ERA5,ws,5.83,0.773,0.745,0.772,4152
2,2023-04,ERA5,temp,6.67,0.953,0.909,0.945,4152
2,2023-04,IFS9,ws,5.83,0.773,0.745,0.772,4152
2,2023-04,IFS9,temp,6.67,0.953,0.909,0.945,4152
2,2023-05,ERA5,ws,5.83,0.743,0.716,0.742,4452
2,2023-05,ERA5,temp,6.67,0.953,0.918,0.948,4452
2,2023-05,IFS9,ws,5.83,0.743,0.716,0.742,4452
2,2023-05,IFS9,temp,6.67,0.953,0.918,0.948,4452
2,2023-06,ERA5,ws,5.83,0.654,0.615,0.654,3916
2,2023-06,ERA5,temp,7.0,0.901,0.806,0.878,3916
2,2023-06,IFS9,ws,5.83,0.654,0.615,0.654,3916
2,2023-06,IFS9,temp,7.0,0.901,0.806,0.878,3916
2,2023-07,ERA5,ws,5.67,0.708,0.684,0.705,4404
2,2023-07,ERA5,temp,6.5,0.94,0.888,0.935,4404
2,2023-07,IFS9,ws,5.67,0.708,0.684,0.705,4404
2,2023-07,IFS9,temp,6.5,0.94,0.888,0.935,4404
2,2023-08,ERA5,ws,5.83,0.681,0.656,0.68,4464
2,2023-08,ERA5,temp,6.83,0.942,0.886,0.93,4464
2,2023-08,IFS9,ws,5.83,0.681,0.656,0.68,4464
2,2023-08,IFS9,temp,6.83,0.942,0.886,0.93,4464
2,2023-09,ERA5,ws,5.83,0.775,0.746,0.774,4299
2,2023-09,ERA5,temp,7.0,0.911,0.838,0.891,4299
2,2023-09,IFS9,ws,5.83,0.775,0.746,0.774,4299
2,2023-09,IFS9,temp,7.0,0.911,0.838,0.891,4299
2,2023-10,ERA5,ws,5.83,0.822,0.8,0.821,4394
2,2023-10,ERA5,temp,7.0,0.91,0.836,0.892,4394
2,2023-10,IFS9,ws,5.83,0.822,0.8,0.821,4394
2,2023-10,IFS9,temp,7.0,0.91,0.836,0.892,4394
2,2023-11,ERA5,ws,6.5,0.84,0.791,0.834,4273
2,2023-11,ERA5,temp,7.0,0.851,0.72,0.818,4273
2,2023-11,IFS9,ws,6.5,0.84,0.791,0.834,4273
2,2023-11,IFS9,temp,7.0,0.851,0.72,0.818,4273
2,2023-12,ERA5,ws,6.17,0.8,0.773,0.799,4423
2,2023-12,ERA5,temp,6.67,0.943,0.93,0.941,4423
2,2023-12,IFS9,ws,6.17,0.8,0.773,0.799,4423
2,2023-12,IFS9,temp,6.67,0.943,0.93,0.941,4423
2,2024-01,ERA5,ws,6.5,0.782,0.731,0.776,4436
2,2024-01,ERA5,temp,6.83,0.884,0.839,0.875,4436
2,2024-01,IFS9,ws,6.5,0.782,0.731,0.776,4436
2,2024-01,IFS9,temp,6.83,0.884,0.839,0.875,4436
2,2024-02,ERA5,ws,6.67,0.776,0.721,0.767,3995
2,2024-02,ERA5,temp,6.33,0.939,0.916,0.937,3995
2,2024-02,IFS9,ws,6.67,0.776,0.721,0.767,3995
2,2024-02,IFS9,temp,6.33,0.939,0.916,0.937,3995
2,2024-03,ERA5,ws,5.67,0.83,0.813,0.828,4464
2,2024-03,ERA5,temp,6.83,0.95,0.913,0.943,4464
2,2024-03,IFS9,ws,5.67,0.83,0.813,0.828,4464
2,2024-03,IFS9,temp,6.83,0.95,0.913,0.943,4464
2,2024-04,ERA5,ws,5.83,0.811,0.79,0.81,4289
2,2024-04,ERA5,temp,6.67,0.924,0.872,0.916,4289
2,2024-04,IFS9,ws,5.83,0.811,0.79,0.81,4289
2,2024-04,IFS9,temp,6.67,0.924,0.872,0.916,4289
2,2024-05,ERA5,ws,5.83,0.841,0.817,0.84,4055
2,2024-05,ERA5,temp,6.5,0.909,0.862,0.903,4055
2,2024-05,IFS9,ws,5.83,0.841,0.817,0.84,4055
2,2024-05,IFS9,temp,6.5,0.909,0.862,0.903,4055
2,2024-06,ERA5,ws,6.17,0.64,0.595,0.639,4263
2,2024-06,ERA5,temp,6.67,0.915,0.86,0.907,4263
2,2024-06,IFS9,ws,6.17,0.64,0.595,0.639,4263
2,2024-06,IFS9,temp,6.67,0.915,0.86,0.907,4263
2,2024-07,ERA5,ws,5.5,0.636,0.606,0.622,4295
2,2024-07,ERA5,temp,6.83,0.928,0.866,0.916,4295
2,2024-07,IFS9,ws,5.5,0.636,0.606,0.622,4295
2,2024-07,IFS9,temp,6.83,0.928,0.866,0.916,4295
2,2024-08,ERA5,ws,5.5,0.631,0.623,0.623,4421
2,2024-08,ERA5,temp,6.83,0.924,0.847,0.907,4421
2,2024-08,IFS9,ws,5.5,0.631,0.623,0.623,4421
2,2024-08,IFS9,temp,6.83,0.924,0.847,0.907,4421
2,2024-09,ERA5,ws,5.83,0.849,0.829,0.848,4320
2,2024-09,ERA5,temp,6.67,0.93,0.879,0.922,4320
2,2024-09,IFS9,ws,5.83,0.849,0.829,0.848,4320
2,2024-09,IFS9,temp,6.67,0.93,0.879,0.922,4320
2,2024-10,ERA5,ws,6.17,0.814,0.772,0.814,4363
2,2024-10,ERA5,temp,7.0,0.94,0.889,0.928,4363
2,2024-10,IFS9,ws,6.17,0.814,0.772,0.814,4363
2,2024-10,IFS9,temp,7.0,0.94,0.889,0.928,4363
2,2024-11,ERA5,ws,6.17,0.817,0.782,0.817,4320
2,2024-11,ERA5,temp,7.0,0.899,0.834,0.883,4320
2,2024-11,IFS9,ws,6.17,0.817,0.782,0.817,4320
2,2024-11,IFS9,temp,7.0,0.899,0.834,0.883,4320
2,2024-12,ERA5,ws,6.17,0.818,0.785,0.817,4454
2,2024-12,ERA5,temp,6.67,0.892,0.844,0.884,4454
2,2024-12,IFS9,ws,6.17,0.818,0.785,0.817,4454
2,2024-12,IFS9,temp,6.67,0.892,0.844,0.884,4454
2,2025-01,ERA5,ws,6.0,0.795,0.778,0.795,4464
2,2025-01,ERA5,temp,6.67,0.887,0.813,0.874,4464
2,2025-01,IFS9,ws,6.0,0.795,0.778,0.795,4464
2,2025-01,IFS9,temp,6.67,0.887,0.813,0.874,4464
2,2025-02,ERA5,ws,6.17,0.754,0.73,0.754,3997
2,2025-02,ERA5,temp,6.5,0.917,0.864,0.91,3997
2,2025-02,IFS9,ws,6.17,0.754,0.73,0.754,3997
2,2025-02,IFS9,temp,6.5,0.917,0.864,0.91,3997
2,2025-03,ERA5,ws,6.0,0.805,0.787,0.805,4384
2,2025-03,ERA5,temp,7.17,0.907,0.845,0.889,4384
2,2025-03,IFS9,ws,6.0,0.805,0.787,0.805,4384
2,2025-03,IFS9,temp,7.17,0.907,0.845,0.889,4384
2,2025-04,ERA5,ws,5.83,0.781,0.758,0.78,4123
2,2025-04,ERA5,temp,7.0,0.939,0.877,0.924,4123
2,2025-04,IFS9,ws,5.83,0.781,0.758,0.78,4123
2,2025-04,IFS9,temp,7.0,0.939,0.877,0.924,4123
2,2025-05,ERA5,ws,5.83,0.844,0.82,0.843,4249
2,2025-05,ERA5,temp,6.83,0.936,0.873,0.924,4249
2,2025-05,IFS9,ws,5.83,0.844,0.82,0.843,4249
2,2025-05,IFS9,temp,6.83,0.936,0.873,0.924,4249
2,2025-06,ERA5,ws,5.83,0.686,0.659,0.684,4262
2,2025-06,ERA5,temp,6.67,0.942,0.876,0.931,4262
2,2025-06,IFS9,ws,5.83,0.686,0.659,0.684,4262
2,2025-06,IFS9,temp,6.67,0.942,0.876,0.931,4262
2,2025-07,ERA5,ws,5.83,0.664,0.647,0.663,4439
2,2025-07,ERA5,temp,6.5,0.92,0.86,0.912,4439
2,2025-07,IFS9,ws,5.83,0.664,0.647,0.663,4439
2,2025-07,IFS9,temp,6.5,0.92,0.86,0.912,4439
2,2025-08,ERA5,ws,6.0,0.724,0.692,0.724,4430
2,2025-08,ERA5,temp,6.5,0.912,0.854,0.905,4430
2,2025-08,IFS9,ws,6.0,0.724,0.692,0.724,4430
2,2025-08,IFS9,temp,6.5,0.912,0.854,0.905,4430
2,2025-09,ERA5,ws,5.67,0.8,0.772,0.797,4318
2,2025-09,ERA5,temp,6.67,0.925,0.864,0.916,4318
2,2025-09,IFS9,ws,5.67,0.8,0.772,0.797,4318
2,2025-09,IFS9,temp,6.67,0.925,0.864,0.916,4318
2,2025-10,ERA5,ws,6.0,0.818,0.783,0.818,4143
2,2025-10,ERA5,temp,6.83,0.931,0.842,0.914,4143
2,2025-10,IFS9,ws,6.0,0.818,0.783,0.818,4143
2,2025-10,IFS9,temp,6.83,0.931,0.842,0.914,4143
2,2025-11,ERA5,ws,6.17,0.819,0.789,0.818,4320
2,2025-11,ERA5,temp,7.17,0.91,0.79,0.873,4320
2,2025-11,IFS9,ws,6.17,0.819,0.789,0.818,4320
2,2025-11,IFS9,temp,7.17,0.91,0.79,0.873,4320
2,2025-12,ERA5,ws,6.17,0.821,0.789,0.82,4430
2,2025-12,ERA5,temp,7.33,0.837,0.757,0.811,4430
2,2025-12,IFS9,ws,6.17,0.821,0.789,0.82,4430
2,2025-12,IFS9,temp,7.33,0.837,0.757,0.811,4430
2,2026-01,ERA5,ws,6.17,0.756,0.742,0.756,4464
2,2026-01,ERA5,temp,7.17,0.92,0.87,0.905,4464
2,2026-01,IFS9,ws,6.17,0.756,0.742,0.756,4464
2,2026-01,IFS9,temp,7.17,0.92,0.87,0.905,4464
