t,month,model,var,best_lag_h,r_best,r_at5,r_at6,n
1,2023-03,ERA5,ws,6.17,0.833,0.8,0.832,2970
1,2023-03,ERA5,temp,6.67,0.926,0.882,0.919,2970
1,2023-03,IFS9,ws,6.17,0.833,0.8,0.832,2970
1,2023-03,IFS9,temp,6.67,0.926,0.882,0.919,2970
1,2023-04,ERA5,ws,5.83,0.766,0.726,0.765,4304
1,2023-04,ERA5,temp,6.67,0.95,0.908,0.943,4304
1,2023-04,IFS9,ws,5.83,0.766,0.726,0.765,4304
1,2023-04,IFS9,temp,6.67,0.95,0.908,0.943,4304
1,2023-05,ERA5,ws,5.83,0.744,0.716,0.744,4464
1,2023-05,ERA5,temp,6.5,0.953,0.92,0.949,4464
1,2023-05,IFS9,ws,5.83,0.744,0.716,0.744,4464
1,2023-05,IFS9,temp,6.5,0.953,0.92,0.949,4464
1,2023-06,ERA5,ws,6.0,0.641,0.599,0.641,4320
1,2023-06,ERA5,temp,7.0,0.905,0.815,0.885,4320
1,2023-06,IFS9,ws,6.0,0.641,0.599,0.641,4320
1,2023-06,IFS9,temp,7.0,0.905,0.815,0.885,4320
1,2023-07,ERA5,ws,5.67,0.7,0.675,0.696,4419
1,2023-07,ERA5,temp,6.5,0.938,0.887,0.933,4419
1,2023-07,IFS9,ws,5.67,0.7,0.675,0.696,4419
1,2023-07,IFS9,temp,6.5,0.938,0.887,0.933,4419
1,2023-08,ERA5,ws,5.83,0.684,0.659,0.683,4462
1,2023-08,ERA5,temp,6.83,0.941,0.885,0.929,4462
1,2023-08,IFS9,ws,5.83,0.684,0.659,0.683,4462
1,2023-08,IFS9,temp,6.83,0.941,0.885,0.929,4462
1,2023-09,ERA5,ws,5.83,0.78,0.75,0.779,4308
1,2023-09,ERA5,temp,7.0,0.908,0.835,0.888,4308
1,2023-09,IFS9,ws,5.83,0.78,0.75,0.779,4308
1,2023-09,IFS9,temp,7.0,0.908,0.835,0.888,4308
1,2023-10,ERA5,ws,5.83,0.819,0.798,0.818,4394
1,2023-10,ERA5,temp,7.0,0.906,0.832,0.888,4394
1,2023-10,IFS9,ws,5.83,0.819,0.798,0.818,4394
1,2023-10,IFS9,temp,7.0,0.906,0.832,0.888,4394
1,2023-11,ERA5,ws,6.5,0.827,0.777,0.82,4278
1,2023-11,ERA5,temp,7.0,0.853,0.724,0.821,4278
1,2023-11,IFS9,ws,6.5,0.827,0.777,0.82,4278
