window,turbine_id,model,scope,lead_start,lead_end,mode,label,n,nbias,nmae,nrmse,sde,pinball_mean,coverage_p10_p90,skill_vs_v0_pct
feb2025,T1,lightgbm-v1,all,1,48,all,left,1332,0.025306976372084955,0.16209233736311301,0.23291929795447464,0.23154039886488073,,,3.839422630530321
feb2025,T1,lightgbm-v1,h1-24,1,24,all,left,666,0.029798987319182534,0.1644516282501252,0.23316004778980545,0.2312479799697623,,,3.594596478452548
feb2025,T1,lightgbm-v1,h25-48,25,48,all,left,666,0.020814965424987373,0.15973304647610084,0.23267829901790646,0.23174539488029286,,,4.090185300371777
feb2025,T1,lightgbm-v1,all,1,48,weather_explainable,left,1287,0.023683968339490272,0.16171188276754206,0.23300693902024375,0.23180013648675366,,,3.899012781823389
feb2025,T1,lightgbm-v1,h1-24,1,24,weather_explainable,left,643,0.027384110156945363,0.16352945901766833,0.23264726844393113,0.23103000243547336,,,3.781806380734055
feb2025,T1,lightgbm-v1,h25-48,25,48,weather_explainable,left,644,0.01998957208386352,0.15989712884078558,0.2333654980569007,0.23250779060334592,,,4.018401297023464
feb2025,T1,mos-curve-v0,all,1,48,all,left,1332,0.013837013012010924,0.16856423057894016,0.2395270713688221,0.23912706870914935,,,0.0
feb2025,T1,mos-curve-v0,h1-24,1,24,all,left,666,0.0172482578968281,0.17058341362926696,0.23951202866563165,0.23889016194697277,,,0.0
feb2025,T1,mos-curve-v0,h25-48,25,48,all,left,666,0.010425768127193745,0.16654504752861338,0.23954211312736476,0.23931512137865674,,,0.0
feb2025,T1,mos-curve-v0,all,1,48,weather_explainable,left,1287,0.011715882186243694,0.16827286321253915,0.23976815355669098,0.23948174369789232,,,0.0
feb2025,T1,mos-curve-v0,h1-24,1,24,weather_explainable,left,643,0.01440700431617981,0.1699568999026859,0.23937127783102558,0.2389373283459318,,,0.0
feb2025,T1,mos-curve-v0,h25-48,25,48,weather_explainable,left,644,0.009028938817378906,0.166591441486197,0.24016375869780454,0.2399939775404569,,,0.0
feb2025,T2,lightgbm-v1,all,1,48,all,left,1332,0.060327372407104285,0.1864687047390053,0.2786848379143462,0.2720769137979185,,,1.556741508269375
feb2025,T2,lightgbm-v1,h1-24,1,24,all,left,666,0.0647968777793889,0.18993747824338036,0.2803501309940064,0.27275916222631186,,,1.349502514405035
feb2025,T2,lightgbm-v1,h25-48,25,48,all,left,666,0.05585786703481968,0.18299993123463018,0.27700953380404486,0.2713193330904649,,,1.7709181090063646
feb2025,T2,lightgbm-v1,all,1,48,weather_explainable,left,1199,0.027526399594336903,0.16183912860383842,0.23364908214965885,0.23202196213882623,,,3.4650668728674368
feb2025,T2,lightgbm-v1,h1-24,1,24,weather_explainable,left,598,0.030611541173448945,0.16432823322712375,0.23449451025109477,0.23248786825313494,,,3.304601613228657
feb2025,T2,lightgbm-v1,h25-48,25,48,weather_explainable,left,601,0.024456658056385163,0.15936244879564435,0.2328048269622098,0.2315166502297783,,,3.629153728276374
feb2025,T2,mos-curve-v0,all,1,48,all,left,1332,0.049953129128127036,0.18941744472494165,0.2786592809581004,0.2741453624528312,,,0.0
feb2025,T2,mos-curve-v0,h1-24,1,24,all,left,666,0.053314323962894164,0.19253575307221862,0.27980885726446914,0.274682688686469,,,0.0
feb2025,T2,mos-curve-v0,h25-48,25,48,all,left,666,0.04659193429335991,0.1862991363776647,0.27750494252269275,0.2735656864142984,,,0.0
feb2025,T2,mos-curve-v0,all,1,48,weather_explainable,left,1199,0.018538196513917717,0.1676482526700494,0.23983700713447983,0.23911947905019346,,,0.0
feb2025,T2,mos-curve-v0,h1-24,1,24,weather_explainable,left,598,0.020462073394199396,0.16994421241208216,0.2408003318099267,0.2399293715912689,,,0.0
feb2025,T2,mos-curve-v0,h25-48,25,48,weather_explainable,left,601,0.016623923012406165,0.16536375362556427,0.23887463527910602,0.238295481626076,,,0.0
jan2026,T1,lightgbm-v1,all,1,48,all,left,1464,0.06538185104027168,0.17137700560073035,0.2358655173547364,0.22662249630512235,,,1.3515159834464063
jan2026,T1,lightgbm-v1,h1-24,1,24,all,left,744,0.0684433581624033,0.16231445998141464,0.2229638093927387,0.21219888553518487,,,1.1829872197506406
jan2026,T1,lightgbm-v1,h25-48,25,48,all,left,720,0.062218293680735656,0.18074163607402324,0.24849456128397782,0.24057936511507866,,,1.5073941836094538
jan2026,T1,lightgbm-v1,all,1,48,weather_explainable,left,1344,0.06301562176377355,0.17434070177675234,0.23783844503507884,0.22933852129642163,,,1.3138331187814387
jan2026,T1,lightgbm-v1,h1-24,1,24,weather_explainable,left,684,0.0665205693011652,0.1651559656606699,0.22538499508018128,0.21534486264395122,,,1.2211271952001368
jan2026,T1,lightgbm-v1,h25-48,25,48,weather_explainable,left,660,0.059383221588658566,0.18385942829705598,0.25009123907795777,0.24293880064184994,,,1.39998027530716
