window,turbine_id,model,scope,lead_start,lead_end,mode,label,n,nbias,nmae,nrmse,sde,pinball_mean,coverage_p10_p90,skill_vs_v0_pct
jan2026,T1,mos-curve-v0,all,1,48,all,left,1464,0.04151661616937124,0.17372492573932777,0.23672384568373758,0.2330548212269875,,,0.0
jan2026,T1,mos-curve-v0,h1-24,1,24,all,left,744,0.04458540280717615,0.16425760647346402,0.22394052621949534,0.21945728773496298,,,0.0
jan2026,T1,mos-curve-v0,h25-48,25,48,all,left,720,0.03834553664363949,0.18350782231405366,0.24924544718314512,0.24627812075179814,,,0.0
jan2026,T1,mos-curve-v0,all,1,48,weather_explainable,left,1344,0.03811697861239026,0.17666174225471104,0.23887201855042375,0.2358112321069897,,,0.0
jan2026,T1,mos-curve-v0,h1-24,1,24,weather_explainable,left,684,0.04217305812372629,0.1671976617783845,0.2270754635052366,0.22312485136042298,,,0.0
jan2026,T1,mos-curve-v0,h25-48,25,48,weather_explainable,left,660,0.033913405300642026,0.18646997111199487,0.25051205924168124,0.24820590800063963,,,0.0
jan2026,T2,lightgbm-v1,all,1,48,all,left,1464,0.070133232378259,0.17494197541121095,0.24120541107717763,0.23078427166747598,,,1.116116640586049
jan2026,T2,lightgbm-v1,h1-24,1,24,all,left,744,0.07311953710776255,0.16623901556068588,0.22958545952328133,0.21763045861657968,,,0.8554386082766517
jan2026,T2,lightgbm-v1,h25-48,25,48,all,left,720,0.06704738415777199,0.18393503392342028,0.25265187447998616,0.24359314020688438,,,1.3583337843713061
jan2026,T2,lightgbm-v1,all,1,48,weather_explainable,left,1296,0.05847667331070029,0.17391781319940836,0.23795956065185084,0.23066259164445263,,,2.063593928787645
jan2026,T2,lightgbm-v1,h1-24,1,24,weather_explainable,left,660,0.06225174374238025,0.16405540857441075,0.22481328732295644,0.21602253252377907,,,2.14127253653748
jan2026,T2,lightgbm-v1,h25-48,25,48,weather_explainable,left,636,0.0545591473910324,0.1841523840366701,0.25087460191560795,0.24487009887341982,,,1.9916714115491707
jan2026,T2,mos-curve-v0,all,1,48,all,left,1464,0.04728278192529109,0.17691657069671113,0.2403900852580044,0.23569414847160713,,,0.0
jan2026,T2,mos-curve-v0,h1-24,1,24,all,left,744,0.05026864653477472,0.16767335820254445,0.22887632825203164,0.2232877892086659,,,0.0
jan2026,T2,mos-curve-v0,h25-48,25,48,all,left,720,0.04419738849549134,0.18646789027401667,0.2517350058992792,0.24782474461862913,,,0.0
jan2026,T2,mos-curve-v0,all,1,48,weather_explainable,left,1296,0.03495911573490987,0.17758239267320852,0.24003214604815418,0.23747271709296544,,,0.0
jan2026,T2,mos-curve-v0,h1-24,1,24,weather_explainable,left,660,0.03918250608399491,0.16764514808928418,0.22818270679573333,0.22479341382168053,,,0.0
jan2026,T2,mos-curve-v0,h25-48,25,48,weather_explainable,left,636,0.030576352165104646,0.18789462761879033,0.2517396993566585,0.24987589503682883,,,0.0
