model,turbine,scope,lead_start,lead_end,mode,label,n,nbias,nmae,nrmse,sde,skill_pct,pinball_p10,pinball_p50,pinball_p90,pinball_mean,coverage_p10_p90
v0,both,all,1,48,all,left,2760,0.0231,0.1821,0.2638,0.2628,43.3357,0.0384,0.0911,0.0427,0.0574,0.7884
v0,both,h1-24,1,24,all,left,1380,0.0331,0.1793,0.2579,0.2558,43.9177,0.0373,0.0897,0.0428,0.0566,0.7732
v0,both,h25-48,25,48,all,left,1380,0.0131,0.1849,0.2695,0.2692,42.7598,0.0394,0.0925,0.0426,0.0582,0.8036
v0,both,all,1,48,weather_explainable,left,2582,0.0062,0.1717,0.2451,0.245,48.6616,0.0338,0.0859,0.0415,0.0537,0.8029
v0,both,h1-24,1,24,weather_explainable,left,1289,0.0157,0.168,0.2379,0.2374,49.5176,0.0327,0.084,0.0415,0.0527,0.7882
v0,both,h25-48,25,48,weather_explainable,left,1293,-0.0032,0.1754,0.2521,0.252,47.817,0.035,0.0877,0.0415,0.0547,0.8175
v0,T1,all,1,48,all,left,1380,0.0055,0.1722,0.2448,0.2447,49.1713,0.0343,0.0861,0.0411,0.0538,0.8014
v0,T1,h1-24,1,24,all,left,690,0.0156,0.1688,0.2377,0.2371,50.2656,0.0333,0.0844,0.0411,0.0529,0.7855
v0,T1,h25-48,25,48,all,left,690,-0.0046,0.1756,0.2517,0.2517,48.0732,0.0354,0.0878,0.041,0.0547,0.8174
v0,T1,all,1,48,weather_explainable,left,1335,0.0032,0.172,0.2452,0.2452,50.3138,0.0344,0.086,0.0409,0.0538,0.8052
v0,T1,h1-24,1,24,weather_explainable,left,667,0.0128,0.1681,0.2375,0.2371,51.5442,0.0332,0.0841,0.0409,0.0527,0.7901
v0,T1,h25-48,25,48,weather_explainable,left,668,-0.0065,0.1759,0.2527,0.2526,49.0802,0.0357,0.088,0.0409,0.0548,0.8204
v0,T2,all,1,48,all,left,1380,0.0407,0.192,0.2815,0.2785,36.8334,0.0424,0.096,0.0443,0.0609,0.7754
v0,T2,h1-24,1,24,all,left,690,0.0506,0.1898,0.2767,0.2721,36.7396,0.0414,0.0949,0.0445,0.0603,0.7609
v0,T2,h25-48,25,48,all,left,690,0.0308,0.1942,0.2861,0.2845,36.9247,0.0435,0.0971,0.0442,0.0616,0.7899
v0,T2,all,1,48,weather_explainable,left,1247,0.0095,0.1714,0.245,0.2448,46.7591,0.0332,0.0857,0.0421,0.0537,0.8003
v0,T2,h1-24,1,24,weather_explainable,left,622,0.0187,0.1678,0.2385,0.2377,47.1432,0.0321,0.0839,0.0421,0.0527,0.7862
v0,T2,h25-48,25,48,weather_explainable,left,625,0.0003,0.1749,0.2514,0.2514,46.3871,0.0342,0.0875,0.0421,0.0546,0.8144
