model,turbine,scope,lead_start,lead_end,mode,label,n,nbias,nmae,nrmse,sde,skill_pct,pinball_p10,pinball_p50,pinball_p90,pinball_mean,coverage_p10_p90
v1,both,all,1,48,all,left,2760,0.0345,0.1764,0.2592,0.2569,45.1084,0.0382,0.0882,0.0399,0.0555,0.7967
v1,both,h1-24,1,24,all,left,1380,0.0448,0.1744,0.2549,0.2509,45.4519,0.0371,0.0872,0.0402,0.0549,0.792
v1,both,h25-48,25,48,all,left,1380,0.0242,0.1784,0.2635,0.2623,44.7686,0.0394,0.0892,0.0396,0.0561,0.8014
v1,both,all,1,48,weather_explainable,left,2582,0.0173,0.1645,0.237,0.2364,50.8135,0.0327,0.0823,0.0386,0.0512,0.8129
v1,both,h1-24,1,24,weather_explainable,left,1289,0.0269,0.1614,0.231,0.2295,51.4869,0.0314,0.0807,0.0388,0.0503,0.8076
v1,both,h25-48,25,48,weather_explainable,left,1293,0.0076,0.1676,0.2429,0.2428,50.1492,0.034,0.0838,0.0384,0.0521,0.8183
v1,T1,all,1,48,all,left,1380,0.0174,0.1648,0.2367,0.236,51.3561,0.0332,0.0824,0.0385,0.0514,0.8109
v1,T1,h1-24,1,24,all,left,690,0.0278,0.1621,0.2309,0.2292,52.2216,0.0322,0.0811,0.0386,0.0506,0.8043
v1,T1,h25-48,25,48,all,left,690,0.007,0.1674,0.2423,0.2422,50.4877,0.0342,0.0837,0.0384,0.0521,0.8174
v1,T1,all,1,48,weather_explainable,left,1335,0.0156,0.1645,0.2369,0.2364,52.4853,0.0333,0.0823,0.0383,0.0513,0.8142
v1,T1,h1-24,1,24,weather_explainable,left,667,0.0254,0.1612,0.2303,0.2289,53.5446,0.032,0.0806,0.0384,0.0503,0.8081
v1,T1,h25-48,25,48,weather_explainable,left,668,0.0057,0.1678,0.2433,0.2432,51.4233,0.0345,0.0839,0.0382,0.0522,0.8204
v1,T2,all,1,48,all,left,1380,0.0515,0.188,0.2799,0.2752,38.1469,0.0433,0.094,0.0414,0.0596,0.7826
v1,T2,h1-24,1,24,all,left,690,0.0618,0.1867,0.2768,0.2699,37.7968,0.042,0.0933,0.0419,0.0591,0.7797
v1,T2,h25-48,25,48,all,left,690,0.0413,0.1894,0.283,0.28,38.488,0.0445,0.0947,0.0409,0.0601,0.7855
v1,T2,all,1,48,weather_explainable,left,1247,0.0191,0.1645,0.2372,0.2364,48.8886,0.0321,0.0823,0.0389,0.0511,0.8115
v1,T2,h1-24,1,24,weather_explainable,left,622,0.0286,0.1617,0.2318,0.23,49.0759,0.0307,0.0808,0.0392,0.0503,0.8071
v1,T2,h25-48,25,48,weather_explainable,left,625,0.0096,0.1674,0.2424,0.2423,48.7072,0.0334,0.0837,0.0386,0.0519,0.816
